
Configuration Management/DevOps/Tools- GO/Python,12/06/2020,Wizedom -- A Cool Vendor is looking for a strong team member to join Tools development group of SDK in a large scale of world wide usage.,5-8 years of experience in Configuration management or DevOps or tools development.  ---Bsc and some background as a SW developer. ---Proficiancy in <span style="background-color:#FEE7D7;text-decoration:none">Python</span>/Go/Perl is a must.  ---Proficiancy with Linux and windows. ---Know how to build releases and work with CI/CD - Docker  Jira  Git.,5-6 שנים,מרכז  שרון  שפלה,אשדוד  תל אביב  ראשון לציון  נתניה  נהריה,אחראי בקרת תצורה  בדיקות אוטומטיות  פיתוח כלי בדיקות,משרה מלאה,
Automation Developer,12/06/2020,RADWIN -- We are looking for a talented software engineer for the Software Automation team. Responsible for the development  deployment  maintenance and support of the software tools solution. The role includes development. The solutions developed by the team is used by critical business groups across the organization. --  -- The developer need to gather requirements  understand  design and develop solutions to improve Quality of the product-lines. --  -- Tel Aviv  Israel -- Reports to: Software Team Leader  R&D,The desired candidate should be very strong technically and an independent learner who is curious about technology and thinks outside the box ---BSc/BA in Computer Science  Engineering or a related field ---proven experience as an Automation Developer ---Experience as a Software Developer &amp; software design ---Knowledge of coding languages (e.g. C++  C#  <span style="background-color:#FEE7D7;text-decoration:none">Python</span>  JavaScript) and frameworks/systems (e.g. NodeJs  Git) ---Ability to learn new languages and technologies ---Excellent communication skills ---Resourcefulness and troubleshooting aptitude ---Attention to details ---Familiarity with Agile development methodologies – Advantage ---Experience with NoSql databases (e.g. MongoDb) – Advantage ---Development in a test-driven environment – Advantage ---Familiarity with Linux OS,1-2 שנים,מרכז  שרון  שפלה,תל אביב,בדיקות אוטומטיות  מהנדס QA,משרה מלאה,
Senior Solution Architect,11/06/2020,QualiTest -- קווליטסט מעניקה שירותי הבטחת איכות לחברות שונות בשוק. -- הפתרונות שאנו מציעים הם בתחומי: QA  Automation  AI Cyber  Devops ועוד -- כיום אנו מחפשים ארכיטקסט פתרונות בדיקות בכיר  שיצטרף לפעילות העסקית שלנו ויתאים ללקוחותנו את הפתרונות המתאימים בתחום הבטחת האיכות.,5+ שנים ניסיון בפיתוח תשתיות אוטומציה- חובה.  --- ידע וניסיון בפיתוח באחת מן השפות- java/ <span style="background-color:#FEE7D7;text-decoration:none">python</span>/ c# - חובה.  ---שנתיים ניסיון בבדיקות תוכנה ידניות- חובה.  ---היכרות וניסיון בעבודה במתודולוגיית agile- חובה.  ---המשרה בפ"ת וכוללת נסיעות של כ-3 פעמים בשבוע  במרכז.,5-6 שנים,מרכז  שרון  שפלה  ירושלים  צפון,פתח תקווה,פיתוח כלי בדיקות  ראש צוות QA,משרה מלאה,
מפתח/ת אוטומציה למערכות מסווגות,11/06/2020,QualiTest -- לצוות בטחוני של קווליטסט אנו מחפשים את האחד/ת שיצטרף אלינו! -- הצוות כותבת טסטים אוטומטיים בכלים פנימיים שפותחו ומבצע בדיקות מקיפות לכלל המערכות המסווגות. -- משרה מלאה בת"א  אופק מקצועי ותנאים טובים למתאימים,תואר בהנדסת תוכנה/ מדעי המחשב/ לימודים רלוונטים- חובה.  ---3+ שנים בבדיקות ידניות- חובה ---2+ שנים ניסיון בבדיקות אוטוצמיה (ידע וניסיון בכתיבה בjava/<span style="background-color:#FEE7D7;text-decoration:none">python</span>/c# ) - חובה ---נכונות לתהליך שכולל סיווכ בטחוני,3-4 שנים,מרכז  שרון  שפלה,תל אביב,בדיקות אוטומטיות  איש QA,משרה מלאה,
Automation Engineer,11/06/2020,High Tech Company -- For an established high-tech company developing products in the field of telecom  with offices in the center -- To develop  deploy  maintain and support the software tools solution. משרה 74699,•BSc/BA in Computer Science  Engineering or a related field?proven experience as an Automation Developer ---•Experience as a Software Developer &amp; software design?Knowledge of coding languages (e.g. C++  C#  <span style="background-color:#FEE7D7;text-decoration:none">Python</span>  JavaScript) and frameworks/systems (e.g. NodeJs  Git) ---?Ability to learn new languages and technologies ---?Excellent communication skills ---?Resourcefulness and troubleshooting aptitude ---?Attention to details ---?Familiarity with Agile development methodologies – Advantage ---?Experience with NoSql databases (e.g. MongoDb) – Advantage ---?Development in a test-driven environment – Advantage ---?Familiarity with Linux OS,1-2 שנים,מרכז  שרון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,בדיקות אוטומטיות  בדיקות ידניות  מהנדס QA,משרה מלאה,
Access QA Testing Engineer,11/06/2020,High Tech Company -- For a hi-tech company developing networking technologies  with offices in the Sharon משרה 100686,Bachelors (B.E/B.Tech) or Masters degree (M.E. or M.Tech.) in Electronics/Communication/Computer Science Engineering or equivalent training  education and experience.  --- Knowledge of scripting languages from <span style="background-color:#FEE7D7;text-decoration:none">Python</span>  Perl  ---Good understanding on UMTS/LTE/GSM air interface concepts  calls flows and?protocols  ---Basic exposure to NodeB-UE functional testing with E2E understanding and working with UEs and core  ---Good knowledge on protocols?- RRM  RRC  RLC  MAC  RANAP  S1AP  NAS  ---Experience with LAN/WAN  routing protocols  TCP/IP  QoS  Tunneling and security protocols.  ---Excellent verbal and written communication skills are required  ---Strong analytical and troubleshooting skills  ---Ability to multi-task in a fast-paced environment  ---Ability to adapt quickly to changing environments and manage parallel time-critical tasks  ---Good understanding of 3GPP standards  ---Ability to multi-task in a fast-paced environment  ---Ability to travel as needed,1-2 שנים,מרכז  שרון  צפון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,איש QA  מהנדס QA,משרה מלאה,
Senior Automation engineer- Python,11/06/2020,High Tech Company -- For a hi-tech company developing cyber security solutions  with offices in the Sharon  we are ooking for a Senior Automation engineer. --  -- As a senior automation engineer  you will lead and test complex software security tools that involve low level system integration and network communication. You will join a highly skilled team and work closely within R&D teams. משרה 100696,4+ years of relevant industry in automation engineering ---4+ <span style="background-color:#FEE7D7;text-decoration:none">Python</span> is a must ---Experience with Scripting languages (Bash  powershell  LUA)  WireShark  SysInternals ---Knowledge and understanding of virtualization  networking  data communications and connectivity protocols ---Excellent familiarity with the Windows OS and system administration ---Highly motivated and creative individual ---Experience with automatic testing and unit testing --- ---Advantage: ---familiarity with Linux OS ---Strong advantage for experience in elite technology units in IDF (e.g. 8200  …) ---Academic degree in computer science or equivalent ---Background in software security ---QA Experience ---Experience working with CI/CD software (Jenkins  Bamboo  GitLab..),5-6 שנים,מרכז  שרון  צפון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,בדיקות אוטומטיות  בדיקות ידניות  מהנדס QA,משרה מלאה,
Automation Team Leader/Automation Engineer,11/06/2020,אביבית דבוש השמה -- Automation Team Leader -- • A Bachelor's degree in Computer Science  Software Engineering  and similar or relevant experience as a developer. -- • At least 5 years of experience in .NET  C# -- • Strong design  coding  and debugging skills (hands on). -- • Very good verbal and written communication skills both Hebrew & English- advantage. -- • Experience as Team Leader / Tech Lead mentoring Junior developers. -- • Experience with TFS and Visual studio. -- • Experience with Behavior-Driven Development frameworks (Cucumber  specflow). -- *********** -- Test & Automation Manager -- חובה ניסיון בפיתוח אוטומציה עם + Java. -- * אחוז HO גבוה לפחות 80-100% -- * עבודה בסביבת Linux- חובה. -- * פיתוח תשתיות מאפס- חובה -- * ניסיון עם Cloud AWS -- * עבודה בסביבה סופר טכנולוגית  דינמית  ומאתגרת,Senior Automation Engineer  ---At least 6 years of experience in software development testing ---Proficiency in JavaScript MUST ---Experience with <span style="background-color:#FEE7D7;text-decoration:none">Python</span> 3 - an advantage. ---Deep automated testing experience in writing  executing and monitoring automated test suites using a variety of technologies such as Selenium  Cucumber/SpecFlow/JBehave  Jest  JavaScript  RESTful APIs. ---Demonstrated experience in building integration test frameworks. ---Advanced code design  coding  debugging and maintenance skills. ---Solid knowledge of design patterns ---Strong analytical and problem-solving skills. ---Working experience with git as source control. ---Be able to clearly communicate complex technical designs and solutions in clear  concise and easily readable format by both technical and non-technical personnel. ---Excellent verbal and written communication skills in English. ---Ability to coach  mentor and train personnel (i.e. test engineers) within a technical organization.,3-4 שנים,מרכז  שרון  שפלה,ראשון לציון  תל אביב  קריית אונו  רמת גן,פיתוח כלי בדיקות  Python  JAVA,משרה מלאה,
מוביל/ה צוות אוטומציה ב-Python,06/06/2020,QualiTest -- חברת Qualitest מגייסת לפרוייקט ארוך טווח בנס ציונה  מפתח/ת בPython עם ניסיון של שנה+. -- כחלק מדרישות התפקיד -הובלת הפרויקט והרכבת הצוות מאפס. -- לא נדרש ניסיון בהובלה קודם-מהווה יתרון למי שרוצה להתקדם בתחום ולנהל תהליכים מול חברה גדולה העוסקת בתחום הביטחוני.,ניסיון בפיתוח ב-<span style="background-color:#FEE7D7;text-decoration:none">Python</span> - חובה ---אנגלית ברמה גבוהה- חובה ---ניסיון בהובלת תהליכים/צוות- יתרון משמעותי ---סיווג בטחוני אזרחי בתוקף- יתרון משמעותי,1-2 שנים,מרכז  שפלה  ירושלים  יהודה ושומרון,נס ציונה,Python  פיתוח כלי בדיקות,משרה מלאה,
QA Automation Engineer - Python,04/06/2020,High Tech Company -- A startup on the field of networking who develops a revolutionary product that improves data traffic on networks looks for a new QA Automation Engineer to join his team. -- Our offices are located in the Sharon area. -- משרה 100538,Network QA Analyst ---Were looking for a network specialist with an excellent understanding of networking services and products to define and develop system test plans and processes  test cases and test scripts.,3-4 שנים,מרכז  שרון  צפון,חיפה  נהריה  טבריה  ירושלים  באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה,בדיקות אוטומטיות  מהנדס QA  איש QA,משרה מלאה,
QA Manager / Team Lead,04/06/2020,High Tech Company -- For a software company developing products for data security  with offices in the center. -- We are looking for an experienced hands-on software QA Manager / Team Lead to join our R&D team. The ideal candidate will need a combination of technical and leadership skills  and passion to build a strong QA team and supporting processes. This role will provide exceptional career growth opportunities as you develop and acquire new security skills in the course of your duties  and help us to build scalable software development and release processes. משרה 100652,BSc in Computer Science or equivalent. ---A team player that can thrive in a very dynamic environment. ---5+ years of experience with SaaS products  2+ years in management role. ---2+ years of experience in QA automation  including infrastructure development. ---Good understanding of web application architecture and cloud infrastructure. ---Understands web applications security challenges and vulnerabilities. ---Scripting and programming experience (Shell  <span style="background-color:#FEE7D7;text-decoration:none">Python</span>  JavaScript). ---Extensive experience working in Linux environment. ---Experience with Test Management Systems. ---Excellent English and communication skills.,1-2 שנים,מרכז  שרון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,בדיקות אוטומטיות  מנהל QA  ראש צוות QA,משרה מלאה,
Lead Automation Engineer,04/06/2020,High Tech Company -- Design  develop and lead Quality Engineering for the Seller Insights group. -- Estimate testing effort  prioritize projects  plan implementations  and help rollout system changes. -- Create test plans and test cases for new assigned features as well as develop test tools for automation/regression testing. -- Recommend coding solutions  fix bugs and solve problems. -- This is a 100% hands-on position. משרה 100438,5+ years of hands-on experience in developing Test Frameworks in Java or <span style="background-color:#FEE7D7;text-decoration:none">Python</span>(<span style="background-color:#FEE7D7;text-decoration:none">Python</span> - an advantage) ---Proficient in Java. Must be experienced in RESTful Services/API testing - TestNG/jUnit ---Experienced in testing large data-sets  test data &amp; environment preparation  test execution and test status reporting. ---Experience with quality automation with CI/CD ---Ability to work on simultaneous projects in a highly dynamic environment ---Good knowledge if Linux ---Proficiency in one or more databases (NoSQL - an advantage) ---Experience with ML/AI testing and validation - an advantage ---Experience with Big Data frameworks (Hadoop   Spark   etc.) - an advantage,5-6 שנים,מרכז  שרון  צפון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,בדיקות אוטומטיות  בדיקות ידניות  מהנדס QA,משרה מלאה,
